workerId,hitId,assignmentId,subject,studyid,exp_date,exp_start,exp_end,time_start,time_end,trial,type,reward_validity,answer,image_top,image_left,image_right,response,response_time,response_acc,volatility,age,race,gender,ethnicity,color,vision,neuro,practice
mTbKWGVi,3en4yvuovf59wipgxxflzhxwdchjxp,3lep4mgt3kdr3dkh976uw67i8e3dbp,mTbKWGVi,2020-0188,2020-05-08,11:06:14,11:23:17,NA,incomplete,85,shape,1,left,Green_Circle_Stripes_1.jpg,Red_Circle_Chess_3.jpg,Purple_Star_Stripes_4.jpg,left,611,true,high,NA,NA,NA,NA,NA,NA,NA,false
mTbKWGVi,3en4yvuovf59wipgxxflzhxwdchjxp,3lep4mgt3kdr3dkh976uw67i8e3dbp,mTbKWGVi,2020-0188,2020-05-08,11:06:14,11:23:17,NA,incomplete,86,shape,1,left,Blue_Triangle_Dots_1.jpg,Red_Triangle_Chess_2.jpg,Purple_Star_Dots_4.jpg,left,676,true,high,NA,NA,NA,NA,NA,NA,NA,false
mTbKWGVi,3en4yvuovf59wipgxxflzhxwdchjxp,3lep4mgt3kdr3dkh976uw67i8e3dbp,mTbKWGVi,2020-0188,2020-05-08,11:06:14,11:23:17,NA,incomplete,87,shape,1,left,Green_Circle_Dots_3.jpg,Purple_Circle_Grid_2.jpg,Red_Star_Dots_1.jpg,left,725,true,high,NA,NA,NA,NA,NA,NA,NA,false
mTbKWGVi,3en4yvuovf59wipgxxflzhxwdchjxp,3lep4mgt3kdr3dkh976uw67i8e3dbp,mTbKWGVi,2020-0188,2020-05-08,11:06:14,11:23:17,NA,incomplete,88,shape,1,left,Blue_Plus_Dots_3.jpg,Red_Plus_Stripes_4.jpg,Purple_Triangle_Dots_2.jpg,left,670,true,high,NA,NA,NA,NA,NA,NA,NA,false
mTbKWGVi,3en4yvuovf59wipgxxflzhxwdchjxp,3lep4mgt3kdr3dkh976uw67i8e3dbp,mTbKWGVi,2020-0188,2020-05-08,11:06:14,11:23:17,NA,incomplete,89,shape,1,left,Green_Star_Stripes_4.jpg,Red_Star_Grid_2.jpg,Purple_Circle_Stripes_1.jpg,left,715,true,high,NA,NA,NA,NA,NA,NA,NA,false
mTbKWGVi,3en4yvuovf59wipgxxflzhxwdchjxp,3lep4mgt3kdr3dkh976uw67i8e3dbp,mTbKWGVi,2020-0188,2020-05-08,11:06:14,11:23:17,NA,incomplete,90,filling,1,right,Blue_Plus_Stripes_1.jpg,Purple_Plus_Chess_3.jpg,Green_Triangle_Stripes_4.jpg,left,737,false,high,NA,NA,NA,NA,NA,NA,NA,false
mTbKWGVi,3en4yvuovf59wipgxxflzhxwdchjxp,3lep4mgt3kdr3dkh976uw67i8e3dbp,mTbKWGVi,2020-0188,2020-05-08,11:06:14,11:23:17,NA,incomplete,91,filling,1,left,Purple_Plus_Stripes_4.jpg,Red_Star_Stripes_1.jpg,Blue_Plus_Chess_3.jpg,right,626,false,high,NA,NA,NA,NA,NA,NA,NA,false
mTbKWGVi,3en4yvuovf59wipgxxflzhxwdchjxp,3lep4mgt3kdr3dkh976uw67i8e3dbp,mTbKWGVi,2020-0188,2020-05-08,11:06:14,11:23:17,NA,incomplete,92,filling,0,left,Purple_Circle_Dots_2.jpg,Green_Plus_Dots_1.jpg,Blue_Circle_Grid_3.jpg,right,672,false,high,NA,NA,NA,NA,NA,NA,NA,false
mTbKWGVi,3en4yvuovf59wipgxxflzhxwdchjxp,3lep4mgt3kdr3dkh976uw67i8e3dbp,mTbKWGVi,2020-0188,2020-05-08,11:06:14,11:23:17,NA,incomplete,93,filling,1,right,Blue_Plus_Stripes_3.jpg,Red_Plus_Chess_1.jpg,Purple_Star_Stripes_2.jpg,left,727,false,high,NA,NA,NA,NA,NA,NA,NA,false
mTbKWGVi,3en4yvuovf59wipgxxflzhxwdchjxp,3lep4mgt3kdr3dkh976uw67i8e3dbp,mTbKWGVi,2020-0188,2020-05-08,11:06:14,11:23:17,NA,incomplete,94,filling,1,left,Red_Star_Stripes_4.jpg,Blue_Triangle_Stripes_2.jpg,Green_Star_Chess_3.jpg,right,755,false,high,NA,NA,NA,NA,NA,NA,NA,false
